Date,Year,Month,Day,Max Temp,Min Temp,Mean Temp,Total Precip (mm),Spd of Max Gust (km/h)
2016-01-01,2016,1,1,0.4,-4.0,-1.8,0.2,50
2016-01-02,2016,1,2,1.2,-4.3,-1.6,0.7,41
2016-01-03,2016,1,3,0.8,-14.3,-6.8,4.1,41
2016-01-04,2016,1,4,-13.4,-22.1,-17.8,0.2,39
2016-01-05,2016,1,5,-6.0,-22.1,-14.1,0.0,37
2016-01-06,2016,1,6,0.3,-11.1,-5.4,0.0,35
2016-01-07,2016,1,7,0.1,-8.5,-4.2,0.0,0
2016-01-08,2016,1,8,2.3,-7.0,-2.4,0.0,0
2016-01-09,2016,1,9,3.9,1.7,2.8,2.9,39
2016-01-10,2016,1,10,7.8,-0.7,3.6,9.9,82
2016-01-11,2016,1,11,-0.7,-11.5,-6.1,0.0,82
2016-01-12,2016,1,12,-2.4,-11.3,-6.9,1.4,50
2016-01-13,2016,1,13,-3.8,-13.9,-8.9,0.2,54
2016-01-14,2016,1,14,-9.5,-14.1,-11.8,0.6,0
2016-01-16,2016,1,16,-1.6,-8.8,-5.2,0.7,43
2016-01-17,2016,1,17,-4.4,-11.8,-8.1,0.2,35
2016-01-18,2016,1,18,-7.4,-14.5,-11.0,5.0,52
2016-01-19,2016,1,19,-8.9,-16.3,-12.6,0.2,52
2016-01-20,2016,1,20,-4.6,-12.5,-8.6,0.0,37
2016-01-21,2016,1,21,-6.7,-14.5,-10.6,0.0,32
2016-01-22,2016,1,22,-3.0,-10.4,-6.7,0.0,0
2016-01-23,2016,1,23,-8.6,-14.5,-11.6,0.0,32
2016-01-24,2016,1,24,-6.3,-16.3,-11.3,0.0,0
2016-01-25,2016,1,25,-0.4,-6.5,-3.5,0.0,0
2016-01-26,2016,1,26,5.7,-2.1,1.8,4.0,59
2016-01-27,2016,1,27,2.1,-7.2,-2.6,0.2,50
2016-01-28,2016,1,28,0.9,-7.5,-3.3,0.2,39
2016-01-29,2016,1,29,1.1,-7.4,-3.2,1.1,41
2016-01-30,2016,1,30,-0.9,-9.0,-5.0,0.0,39
2016-01-31,2016,1,31,6.0,-6.2,-0.1,1.8,0
2016-02-01,2016,2,1,9.0,0.1,4.6,0.0,65
2016-02-02,2016,2,2,0.1,-6.1,-3.0,0.2,0
2016-02-03,2016,2,3,8.6,-5.2,1.7,17.5,50
2016-02-04,2016,2,4,8.3,-0.7,3.8,0.0,43
2016-02-05,2016,2,5,-0.3,-5.7,-3.0,0.0,0
2016-02-06,2016,2,6,1.6,-5.2,-1.8,2.4,41
2016-02-07,2016,2,7,1.0,-8.7,-3.9,0.2,41
2016-02-08,2016,2,8,-5.7,-9.0,-7.4,0.0,48
2016-02-09,2016,2,9,-5.5,-8.1,-6.8,1.3,33
2016-02-10,2016,2,10,-4.6,-8.9,-6.8,1.3,0
2016-02-11,2016,2,11,-8.0,-17.8,-12.9,0.4,44
2016-02-13,2016,2,13,-11.1,-26.5,-18.8,0.6,52
2016-02-14,2016,2,14,-19.6,-27.6,-23.6,0.0,39
2016-02-15,2016,2,15,-5.0,-23.2,-14.1,0.0,46
2016-02-16,2016,2,16,1.0,-7.7,-3.4,17.8,33
2016-02-17,2016,2,17,-0.3,-10.7,-5.5,4.4,44
2016-02-18,2016,2,18,-8.9,-15.7,-12.3,0.2,0
2016-02-20,2016,2,20,4.8,-0.4,2.2,7.0,56
2016-02-21,2016,2,21,3.4,-9.2,-2.9,0.6,35
2016-02-22,2016,2,22,-7.1,-13.6,-10.4,0.2,0
2016-02-23,2016,2,23,-5.0,-13.3,-9.2,0.0,0
2016-02-24,2016,2,24,0.9,-5.3,-2.2,23.9,43
2016-02-25,2016,2,25,1.7,-3.9,-1.1,9.6,54
2016-02-26,2016,2,26,-3.9,-12.9,-8.4,0.2,50
2016-02-27,2016,2,27,3.2,-11.1,-4.0,0.0,57
2016-02-28,2016,2,28,2.5,-8.6,-3.1,2.8,41
2016-02-29,2016,2,29,2.9,-9.8,-3.5,5.1,74
2016-03-01,2016,3,1,-8.9,-14.9,-11.9,0.2,56
2016-03-02,2016,3,2,-7.4,-14.4,-10.9,8.7,61
